"scenario_id","wave","formula","expected_text","expected_error","expected_spill_text","expected_spill_rows","expected_spill_cols","tolerance","notes"
"W45B-001","W45-B","=""a""&1","a1","","","","","0","Binary concat coerces number to text."
"W45B-002","W45-B","=1&TRUE","1TRUE","","","","","0","Binary concat coerces logical to text."
"W45B-003","W45-B","=""a""=""A""","TRUE","","","","","0","Text equality is case-insensitive on the admitted slice."
"W45B-004","W45-B","=1=""1""","FALSE","","","","","0","Direct comparison does not numeric-coerce text."
"W45B-005","W45-B","=FALSE<TRUE","TRUE","","","","","0","Logical ordering lane."
"W45B-006","W45-B","=""10"">2","TRUE","","","","","0","Mixed text-vs-number ordering lane."
"W45B-007","W45-B","=A1=0","TRUE","","","","","0","Blank direct cell compares equal to zero."
"W45B-008","W45-B","=A1=""""","TRUE","","","","","0","Blank direct cell compares equal to empty text."
"W45B-009","W45-B","=TRUE>0","TRUE","","","","","0","Logical compares above number on the admitted slice."
"W45B-010","W45-B","={""a"",""b""}&{""x"";""y""}","","","ax|bx|ay|by","2","2","0","Concat broadcasts row-vs-column inputs as a 2-D grid."
"W45B-011","W45-B","={1,2}={1;2}","","","TRUE|FALSE|FALSE|TRUE","2","2","0","Comparison broadcasts row-vs-column inputs as a 2-D grid."
"W45B-012","W45-B","={""a"",""b""}&{""x"",""y"",""z""}","","","ax|by|#N/A","1","3","0","Concat pads non-broadcastable coordinates with #N/A."
